127.0.0.1 - - [18/May/2017:11:26:03 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:04 +0800] "GET /web/ HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/jsp/01_addDelete.jsp HTTP/1.1" 200 12577
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/easyui.css HTTP/1.1" 200 32629
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/icon.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/js/easyui-lang-zh_CN.js HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/yemian.css HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/js/jquery.easyui.min.js HTTP/1.1" 200 281504
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/combo_arrow.gif HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/button_a_bg.gif HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/button_span_bg.gif HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "POST /web/UserServlet?method=getCity HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/spinner_arrow_down.gif HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/spinner_arrow_up.gif HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/panel_tools.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/panel_title.png HTTP/1.1" 200 2876
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/layout_button_up.gif HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:20 +0800] "GET /web/EasyUI/css/images/validatebox_warning.png HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/datagrid_header_bg.gif HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_first.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_prev.gif HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_next.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_last.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_load.png HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [18/May/2017:11:26:21 +0800] "GET /web/EasyUI/css/images/pagination_loading.gif HTTP/1.1" 200 1737
